"V1","V2"
1,381
2,381
3,381
4,381
5,381
6,381
7,381
8,381
9,381
10,381
11,381
12,381
13,381
14,381
15,381
16,381
17,381
18,788
19,788
20,788
21,788
22,788
23,788
24,788
25,788
26,788
27,788
28,788
29,788
30,788
31,500
32,500
33,500
34,500
35,500
36,500
37,500
38,500
39,500
40,500
41,500
42,500
43,500
44,500
45,500
46,500
47,500
48,500
49,500
50,500
51,500
52,500
53,500
54,500
55,500
56,500
57,2274
58,2274
59,2274
60,2274
61,1678
62,1678
63,1678
64,1678
65,1678
66,1678
67,1470
68,1470
69,1470
70,1470
71,1678
72,1470
73,1470
74,1640
75,1640
76,1640
77,1640
78,1640
79,1640
80,1640
81,1640
82,1640
83,1640
84,1640
85,1640
86,1640
87,1640
88,1640
89,1640
90,1640
91,865
92,865
93,865
94,865
95,518
96,518
97,518
98,518
99,518
100,518
101,518
102,518
103,518
104,518
105,518
106,518
107,518
108,518
109,518
110,518
111,518
112,518
113,518
114,2127
115,2127
116,1748
117,1748
118,1748
119,1748
120,1748
121,1748
122,1748
123,1748
124,1748
125,1748
126,1748
127,1748
128,1748
129,1748
130,1748
131,1748
132,1748
133,1748
134,1748
135,786
136,786
137,786
138,786
139,786
140,786
141,786
142,786
143,786
144,786
145,786
146,375
147,797
148,797
149,797
150,797
151,797
152,797
153,797
154,797
155,518
156,518
157,518
158,518
159,518
160,518
161,518
162,518
163,518
164,518
165,518
166,518
167,518
168,518
169,2160
170,2160
171,797
172,797
173,797
174,797
175,797
176,797
177,797
178,797
179,797
180,797
181,797
182,797
183,797
184,797
185,800
186,800
187,800
188,800
189,800
190,800
191,800
192,800
193,800
194,800
195,800
196,800
197,800
198,800
199,800
200,800
201,800
202,1681
203,1681
204,1681
205,1681
206,1681
207,1681
208,1681
209,1681
210,1681
211,1681
212,1681
213,1681
214,1681
215,1681
216,1681
217,1681
218,1681
219,1681
220,1681
221,1681
222,1681
223,1681
224,1681
225,1681
226,1681
227,1681
228,2038
229,2038
230,2038
231,2038
232,2102
233,1356
234,1356
235,1356
236,1356
237,1356
238,1356
239,1356
240,1356
241,1356
242,1356
243,1356
244,1356
245,1356
246,1356
247,1356
248,1356
249,1356
250,1356
251,1356
252,1356
253,1356
254,1356
255,1356
256,1356
257,1994
258,1994
259,1994
260,1994
261,1994
262,1994
263,1994
264,1365
265,1365
266,1365
267,1365
268,1365
269,1365
270,1792
271,1792
272,1792
273,1681
274,1681
275,1681
276,1681
277,1681
278,1681
279,1681
280,1681
281,1681
282,1681
283,1994
284,1994
285,1994
286,1994
287,1994
288,1994
289,1681
290,1681
291,1681
292,1681
293,1681
294,1681
295,1681
296,1681
297,1681
298,1681
299,1681
300,1681
301,1681
302,1681
303,1681
304,1681
305,1681
306,1681
307,1681
308,1681
309,1681
310,1681
311,1681
312,1681
313,1681
314,1681
315,1994
316,1994
317,1994
318,1994
319,1994
320,1356
321,1356
322,1356
323,1356
324,1356
325,1356
326,1356
327,1356
328,1356
329,1356
330,1356
331,1356
332,1356
333,1356
334,1356
335,1356
336,1356
337,1356
338,1356
339,1356
340,1356
341,1356
342,1356
343,1356
344,2068
345,2068
346,2068
347,654
348,654
349,654
350,654
351,654
352,654
353,654
354,654
355,654
356,796
357,796
358,1629
359,1629
360,612
361,612
362,612
363,612
364,612
365,612
366,612
367,612
368,612
369,612
370,612
371,612
372,612
373,612
374,612
375,612
376,834
377,834
378,834
379,834
380,636
381,636
382,636
383,636
384,636
385,1813
386,1813
387,1445
388,1445
389,1445
390,1445
391,1445
392,1445
393,1445
394,1445
395,1445
396,1445
397,1445
398,1445
399,1445
400,1445
401,1445
402,1445
403,1445
404,1445
405,1495
406,1495
407,1495
408,1495
409,1495
410,1495
411,1495
412,1495
413,612
414,1495
415,1495
416,1495
417,214
418,214
419,214
420,209
421,1460
422,1460
423,1460
424,1460
425,1460
426,1460
427,1460
428,2121
429,2121
430,2121
431,2068
432,354
433,351
434,354
435,354
436,354
437,354
438,354
439,354
440,354
441,354
442,354
443,354
444,354
445,354
446,354
447,354
448,354
449,777
450,777
451,777
452,777
453,777
454,777
455,777
456,777
457,777
458,777
459,777
460,777
461,777
462,120
463,120
464,1083
465,1083
466,1083
467,1083
468,1083
469,354
470,354
471,354
472,354
473,354
474,354
475,354
476,354
477,354
478,354
479,354
480,354
481,777
482,777
483,777
484,777
485,777
486,777
487,777
488,1862
489,1862
490,612
491,612
492,612
493,612
494,612
495,612
496,612
497,612
498,612
499,612
500,612
501,612
502,612
503,612
504,612
505,612
506,612
507,612
508,612
509,612
510,612
511,612
512,612
513,612
514,1719
515,1719
516,1719
517,728
518,797
519,797
520,797
521,797
522,797
523,797
524,797
